City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Synya,RU,2021-03-27 20:39:19,65.3718,58.0387,19.47,94,100,5.06
104,Atikokan,CA,2021-03-27 20:39:19,48.7555,-91.6216,34.21,89,100,9.37
105,Saint-Pierre,RE,2021-03-27 20:39:20,-21.3393,55.4781,77.0,88,90,3.44
106,Thompson,CA,2021-03-27 20:35:54,55.7435,-97.8558,21.2,53,75,10.36
107,Vao,NC,2021-03-27 20:39:20,-22.6667,167.4833,77.81,79,14,12.19
108,Praia,CV,2021-03-27 20:39:20,14.9215,-23.5087,69.8,68,20,26.46
109,Hurghada,EG,2021-03-27 20:39:20,27.2574,33.8129,64.4,29,0,13.8
110,Butaritari,KI,2021-03-27 20:39:20,3.0707,172.7902,81.68,77,91,13.96
111,Safranbolu,TR,2021-03-27 20:39:21,41.2508,32.6942,26.89,94,36,1.12
112,Grand Gaube,MU,2021-03-27 20:39:21,-20.0064,57.6608,78.01,82,100,1.99
113,Ayna,PE,2021-03-27 20:39:21,-12.65,-73.9167,69.35,75,64,4.29
114,Severo-Kurilsk,RU,2021-03-27 20:39:21,50.6789,156.125,26.67,80,100,35.43
115,Bacungan,PH,2021-03-27 20:39:22,9.9106,118.7022,77.31,88,88,2.89
116,Torbat-E Jam,IR,2021-03-27 20:39:22,35.244,60.6225,65.55,63,82,1.41
117,Lompoc,US,2021-03-27 20:39:22,34.6391,-120.4579,73.0,40,1,13.8
118,Mahebourg,MU,2021-03-27 20:39:22,-20.4081,57.7,77.0,83,75,5.75
119,Tuktoyaktuk,CA,2021-03-27 20:39:23,69.4541,-133.0374,-16.6,76,90,4.61
120,Broome,US,2021-03-27 20:39:23,42.2506,-75.833,60.01,54,1,4.61
121,Mount Gambier,AU,2021-03-27 20:39:21,-37.8333,140.7667,50.0,93,98,5.75
122,Starkville,US,2021-03-27 20:39:23,33.4504,-88.8184,82.99,57,75,6.91
123,Port Alfred,ZA,2021-03-27 20:39:23,-33.5906,26.891,65.75,68,56,13.58
124,Dwarka,IN,2021-03-27 20:39:24,22.2394,68.9678,78.55,71,93,13.8
