City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,East London,ZA,-33.0153,27.9116,65.39,77,100,13.31,overcast clouds
131,Kodiak,US,57.79,-152.4072,42.8,26,1,5.75,clear sky
132,Naze,JP,28.3667,129.4833,66.2,94,75,3.44,broken clouds
133,Boke,GN,10.9409,-14.2967,72.81,84,0,4.27,clear sky
134,Nagua,DO,19.3832,-69.8474,80.6,78,40,4.61,scattered clouds
135,Salalah,OM,17.0151,54.0924,77.0,53,0,3.44,clear sky
136,Nikel,RU,69.4128,30.222,33.8,80,88,12.66,overcast clouds
137,Cockburn Town,TC,21.4612,-71.1419,78.8,73,40,19.57,scattered clouds
138,Sambava,MG,-14.2667,50.1667,76.91,90,100,2.82,light rain
139,Roebourne,AU,-20.7833,117.1333,86.59,47,73,8.48,broken clouds
140,Saskylakh,RU,71.9167,114.0833,-4.13,99,98,2.91,overcast clouds
141,Barrow,US,71.2906,-156.7887,-16.6,69,20,12.66,haze
142,Mega,ET,4.05,38.3,63.41,61,100,5.93,overcast clouds
143,Puerto Colombia,CO,10.9878,-74.9547,84.2,65,20,14.97,few clouds
144,Huarmey,PE,-10.0681,-78.1522,72.21,80,100,9.35,overcast clouds
145,Pisco,PE,-13.7,-76.2167,73.4,68,0,21.85,clear sky
146,Lebu,CL,-37.6167,-73.65,56.91,91,0,11.65,clear sky
147,Severnoye,RU,56.3491,78.3619,26.78,97,100,3.4,light snow
148,Monteagudo,BO,-19.8167,-63.9833,68.0,83,90,2.26,overcast clouds
149,Santa Cruz,BO,-17.8,-63.1667,77.0,57,40,8.05,scattered clouds
150,Maralal,KE,1.0968,36.698,60.67,72,90,4.03,overcast clouds
151,Victoria,HK,22.2855,114.1577,75.99,87,23,6.98,few clouds
152,Marrakesh,MA,31.6315,-8.0083,68.0,37,75,4.61,broken clouds
153,Kumluca,TR,36.3703,30.2869,54.23,55,27,4.99,scattered clouds
154,Barranca,PE,-10.75,-77.7667,70.84,79,87,7.92,overcast clouds
155,Na Klang,TH,17.3072,102.1889,82.99,78,82,2.37,broken clouds
156,Boulogne-Sur-Mer,FR,50.75,1.8333,48.0,93,0,4.61,clear sky
157,Chuy,UY,-33.6971,-53.4616,64.31,91,54,5.19,broken clouds
158,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,68.0,93,40,10.18,light rain
159,Kaitangata,NZ,-46.2817,169.8464,64.96,64,49,4.54,scattered clouds
160,Isangel,VU,-19.55,169.2667,80.6,78,40,3.44,scattered clouds
